instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2018-11-07T00:00:00Z,BRITANNIA.NS,HDFCLIFE.NS,HEROMOTOCO.NS,ULTRACEMCO.NS,ITC.NS,SHREECEM.NS,WIPRO.NS,LT.NS,BAJFINANCE.NS,TECHM.NS
2019-02-12T00:00:00Z,TATACONSUM.NS,NTPC.NS,COALINDIA.NS,TATASTEEL.NS,TITAN.NS,BRITANNIA.NS,HEROMOTOCO.NS,ICICIBANK.NS,BAJFINANCE.NS,INDUSINDBK.NS
2019-10-03T23:00:00Z,ONGC.NS,TCS.NS,TECHM.NS,WIPRO.NS,INDUSINDBK.NS,ULTRACEMCO.NS,GRASIM.NS,TITAN.NS,KOTAKBANK.NS,ICICIBANK.NS
2015-12-14T00:00:00Z,HINDALCO.NS,COALINDIA.NS,MARUTI.NS,TATASTEEL.NS,BRITANNIA.NS,BAJFINANCE.NS,BHARTIARTL.NS,ONGC.NS,LT.NS,NESTLEIND.NS
2017-08-02T23:00:00Z,BAJAJFINSV.NS,BHARTIARTL.NS,GRASIM.NS,RELIANCE.NS,TECHM.NS,COALINDIA.NS,HINDALCO.NS,ICICIBANK.NS,CIPLA.NS,TATASTEEL.NS
2020-04-02T23:00:00Z,CIPLA.NS,ITC.NS,ONGC.NS,TECHM.NS,BHARTIARTL.NS,INDUSINDBK.NS,ICICIBANK.NS,TITAN.NS,MARUTI.NS,WIPRO.NS
2020-07-08T23:00:00Z,HINDALCO.NS,BAJFINANCE.NS,TATASTEEL.NS,BAJAJFINSV.NS,SHREECEM.NS,COALINDIA.NS,ONGC.NS,TECHM.NS,HEROMOTOCO.NS,MARUTI.NS
2021-01-07T00:00:00Z,TATASTEEL.NS,HINDALCO.NS,BHARTIARTL.NS,INDUSINDBK.NS,BAJAJFINSV.NS,NESTLEIND.NS,HDFCLIFE.NS,TITAN.NS,ITC.NS,ICICIBANK.NS
2017-01-13T00:00:00Z,TATACONSUM.NS,ITC.NS,TECHM.NS,BAJFINANCE.NS,ONGC.NS,TCS.NS,HINDALCO.NS,NTPC.NS,TITAN.NS,MARUTI.NS
2018-09-02T23:00:00Z,WIPRO.NS,TITAN.NS,TATACONSUM.NS,BAJAJ-AUTO.NS,SHREECEM.NS,BAJFINANCE.NS,TECHM.NS,NESTLEIND.NS,BRITANNIA.NS,ICICIBANK.NS
2015-03-10T00:00:00Z,BHARTIARTL.NS,COALINDIA.NS,TITAN.NS,TECHM.NS,BAJAJ-AUTO.NS,BRITANNIA.NS,HINDALCO.NS,ULTRACEMCO.NS,TATASTEEL.NS,KOTAKBANK.NS
